Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
energy-pack-15k,Energy Pack 15K,"<p><b>Kit Nutricional para 15K – ¡Rinde al máximo en cada kilómetro!</b></p>
<p>Prepárate para cruzar la meta con la mejor energía, fuerza y recuperación. El <b>Kit de Nutrición Deportiva para 15K de Actimax</b> fue diseñado por expertos en nutrición deportiva para tu reto.</p>
<p><b>El Energy Pack 15K incluye:</b></p>
<ul> <li>1 Sobre de Pre Race</li>
<li>1 Gel Energético de 30 gr</li>
<li>1 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<p><b>Recomendaciones de uso:</b></p>
<p>Ya no tienes que improvisar ni preocuparte por qué llevar o qué tomar. Este kit tiene todo lo necesario para que tu carrera sea una experiencia poderosa, sin calambres, sin bajones de energía y con una recuperación más efectiva.</p>
<p><b>Antes:</b></p>
<ul> <li><b>1 Sobre de Pre Race</b>: recarga tus músculos de energía. Te recomendamos prepararlo 15 o 20 minutos antes de iniciar con agua, jugo, café, leche o tu bebida favorita.</li>
</ul>
<b>Durante:</b> <ul> <li><b>1 Gel Energético de 30g</b>: energía rápida y constante justo cuando lo necesitas. Te recomendamos consumirlo en el kilómetro 7.</li>
<li><b>1 Energy Gel:</b> un boost de energía rápida, justo cuando más lo necesitas, ideal para rematar con la mejor energía. Inclúyelo en el kilómetro 12.</li>
</ul>
<b>Después:</b> <ul> <li><b>1 Sobre de Recovery Pro</b>: ahora que ya terminaste tu reto viene la recuperación. Prepara tu Recovery Pro en los primeros 30 minutos después de terminar tu carrera para sacarle el mayor provecho y asegurar una recuperación rápida y efectiva.</li>
</ul>
<p><b>¿Por qué elegir este kit?</b></p>
<ul> <li>🧠 <b>Desarrollado por expertos</b> en nutrición deportiva.<br></li>
<li>🕐 <b>Optimiza cada etapa de tu carrera</b>: antes, durante y después.<br></li>
<li>🚀 <b>Evita la pálida, los calambres y el agotamiento</b>.<br></li>
<li>🇨🇴 <b>100% colombiano</b>, diseñado para nuestro terreno, clima y deportistas.</li>
</ul>",Actimax,Energy Packs,kits,TRUE,Title,Default Title,,shopify,100,deny,manual,40000,46000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/04/Energy-Pack-15K-Actimax-Running.webp,1,Energy Pack 15K,Energy Pack 15K — Actimax,"Kit Nutricional para 15K – ¡Rinde al máximo en cada kilómetro! Prepárate para cruzar la meta con la mejor energía, fuerza y recuperación. El Kit de Nutrición De",active
energy-pack-15k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2025/04/Infografia-Recomendaciones-de-uso-Energy-Pack-15K-.webp,2,Energy Pack 15K,,,
energy-pack-15k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2025/05/3.-Geles-energe%E2%95%A0uticos-Actimax-30-g.webp,3,Energy Pack 15K,,,
energy-pack-42k-sub-3,Energy Pack 42K Sub 3,"<p>¡La energía para corredores que se retan! Ve por tu mejor marca en los 42K con la nutrición que tu cuerpo merece.</p>
<p><strong>El Energy Pack 42K Sub 3 incluye:</strong></p>
<ul> <li>1 Sobre de Pre Race</li>
<li>6 Energy Gel</li>
<li>3 Sobres de Bebida Élite</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<p><b>Recomendaciones de uso:</b></p>
<p><strong>El Energy Pack 42K Sub 3 te aporta: 71,5 gr de carbohidratos x hora y 250 mg de sodio por hora. Si necesitas aumentar la cantidad de carbohidratos x hora contactanos para darte indicaciones.</strong></p>
<p><b>Antes de la carrera:</b></p>
<ul> <li>Pre Race: consume 1 sobre de Pre Race Actimax en tu desayuno. Disuelve el contenido del sobre en 250 ml (una taza) de tu bebida preferida (agua, leche, yogurt, avena, café).</li>
</ul>
<p><b>Durante la carrera :</b></p>
<ul> <li>Geles: usa Energy Gel cada 30 minutos.</li>
<li>Hidratación: toma 1 sorbo de Bebida Élite cada 10 minutos durante toda la carrera para asegurar la reposición de líquido y reponer sales perdidas por el sudor.</li>
</ul>
<p><b>Después de la carrera:</b></p>
<ul> <li>Recovery: después de un gran reto llega la recompensa. Consume 1 sobre de Recovery Pro Actimax en 250 ml de agua después de finalizar la carrera para tu recuperación muscular.</li>
</ul>",Actimax,Energy Packs,"kits, running",TRUE,Title,Default Title,,shopify,100,deny,manual,95000,108000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/08/Energy-pack-42K-sub-3-running.webp,1,Energy Pack 42K Sub 3,Energy Pack 42K Sub 3 — Actimax,¡La energía para corredores que se retan! Ve por tu mejor marca en los 42K con la nutrición que tu cuerpo merece. El Energy Pack 42K Sub 3 incluye: 1 Sobre de P,active
energy-pack-42k-sub-3,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2025/08/Infografia-Energy-Packs-Sub-42K.webp,2,Energy Pack 42K Sub 3,,,
energy-pack-42k-sub-3,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2024/04/Infografia-42K-2-0000.jpg,3,Energy Pack 42K Sub 3,,,
energy-pack-de-10k,Energy Pack 10K,"<p>¡La energía para tus 10K está aquí! Los expertos en nutrición deportiva de Actimax crearon un pack edición especial para tu reto.</p>
<p>El Energy Pack 10K incluye:</p>
<p>• 1 Sobre de Pre Race<br> • 1 Energy Gel (recomendado para el kilómetro 5)<br> • 1 Sobre de Recovery Pro</p>
<p>*Pack con unidades limitadas, disponible hasta agotar existencia.</p>
<p><b>Recomendaciones de uso del Energy Pack 10K</b></p>
<p><b>Antes de la carrera:</b></p>
<p>• <b>Pre Race:</b>consume 1 sobre de Pre Race Actimax en tu desayuno. Disuelve todo el contenido del sobre en 250 ml de tu bebida favorita (agua, leche, yogurt, avena, café, jugo, etc).</p>
<p><b>Durante la carrera :</b></p>
<ul> <li><b>Energy Gel:</b> te recomendamos consumir un Energy Gel en el kilómetro 5 (gel energético de absorción rápida).</li>
<li>Usa las zonas de hidratación dispuestas por la organización.</li>
</ul>
<p><b>Después de la carrera:</b></p>
<p>• Entre los primeros 30 minutos después de finalizar la carrera, consume 1 sobre de <b>Recovery Pro Actimax</b>con agua o tu bebida preferida, te ayudará en la recuperación rápida de tus músculos, la reposición de glucógeno y la rehidratación de tu cuerpo.</p>",Actimax,Energy Packs,kits,TRUE,Title,Default Title,,shopify,100,deny,manual,35000,37000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/08/Energy-Pack-10K.webp,1,Energy Pack 10K,Energy Pack 10K — Actimax,¡La energía para tus 10K está aquí! Los expertos en nutrición deportiva de Actimax crearon un pack edición especial para tu reto. El Energy Pack 10K incluye: • ,active
energy-pack-de-10k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2024/01/Energy-Gel-Actimax.jpeg,2,Energy Pack 10K,,,
energy-pack-de-10k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2025/08/Infografia-de-10K-Recomendaciones-de-uso-para-el-portal-web.webp,3,Energy Pack 10K,,,
pack-sachets-bebida-elite-cafeina,Pack x20 sachets Bebida Deportiva Élite con Cafeína,"<p>Con su nueva presentación en sobres, podrás llevar la hidratación y energía a todos tus entrenamientos. La Bebida Deportiva Élite con cafeína Actimax, es una bebida para usar durante el entrenamiento, ideal para aquellos deportistas que buscan sentirse más ágiles y con el mejor combustible para entrenar o competir.</p>
<h3>Recomendaciones de uso</h3>
<strong>Descripción detallada de la Bebida Deportiva Élite:</strong> <p>La Bebida Deportiva Élite con Cafeína Actimax en sachet es una bebida desarrollada para atletas que necesitan una fuente de aporte de energía, hidratación, concentración e intensidad que actué de forma rápida, constante y prolongada DURANTE el entrenamiento o competencia.</p>
<p>Esta bebida contiene una matriz energética con una consistente mezcla de maltodextrina, dextrosa y fructosa, carbohidratos de rápida asimilación que son la fuente principal de energía en el rendimiento deportivo; cafeína, para activar tu sistema nervioso y aportar esa chispa extra de energía y concentración a tu cuerpo; electrolitos para mejorar la contracción muscular y vitaminas.</p>
<p>Esta bebida es recomendada para entrenamientos y competencias en deportes de velocidad, resistencia y fuerza.</p>
<p>Preparar la bebida es muy fácil, solo mezclas un sachet (30 gr) de Actimax en 500 ml de agua, agitas y en cuestión de segundos tienes una bebida hidratante y energética especializada para que alcances tu máximo potencial en tu deporte preferido y que te aportará 27,5 gr de carbohidratos, 250 mg de sodio y 55 mg de cafeína.</p>
<p>Si quieres aumentar el aporte de carbohidratos, sodio y cafeína por cada 500 ml sigue estas indicaciones:</p>
<ul> <li>2 sachet (60 gr) de Actimax : Te aportarán 55 gr de carbohidratos, 500 mg de sodio y 110 mg de cafeina.</li>
</ul>
Sabores de la bebida: <p>Naranja, Limón, Uva y Tutti Frutti.</p>
Información nutricional de la Bebida Deportiva Élite: 1 sachet (30 gr) en 500 ml de agua <ul> <li>27,5 gr de carbohidratos.</li>
<li>250 mg de sodio.</li>
<li>13 mg de vitamina C.</li>
<li>55 mg de cafeína.</li>
<li>Vitaminas B2, B3, B6, B12, B5.</li>
</ul>
Preguntas Frecuentes <p>¿La bebida deportiva elite Actimax es hidratante?</p>
<p>Si, las bebidas deportivas Elite Actimax contienen electrolitos específicos que ayudan a la hidratación del cuerpo durante la actividad física y adicionalmente contienen otros nutrientes que aportan combustible – energía a los músculos para que puedas explotar al máximo tu rendimiento deportivo.</p>
<p>¿Es mejor hidratarse solo con agua?</p>
<p>Cuando sudamos perdemos agua y a su vez perdemos electrolitos, ambos son fundamentales para que tu cuerpo y tus músculos funcionen adecuadamente y se mantenga un equilibrio de agua y electrolitos.</p>
<p>Por eso te recomendamos si vas a realizar actividades deportivas de más de 60 minutos incorporar al agua una mezcla de electrolitos y carbohidratos como los que están en las bebidas deportivas elite Actimax para garantizar que el agua permanecerá más tiempo en tu cuerpo ayudándote a mantenerte hidratado y con más energía.</p>
<p>¿Cómo se prepara la bebida deportiva elite Actimax?</p>
<p>Se coloca una porción de bebida deportiva elite Actimax en ½ litro de agua (500 ml) se mezcla y en cuestión de segundos tienes una bebida que te aporta hidratación y energía.</p>
<p>¿Cómo se consume la bebida deportiva Actimax?</p>
<p>Te recomendamos consumir sorbos de 100 a 125 ml cada 15 minutos para garantizar el aporte de agua, electrolitos y energía que tus músculos necesitan durante el entrenamiento o competencias.</p>
<p>¿Puedo consumir la bebida deportiva Actimax con el gel Actimax al mismo tiempo?</p>
<p>Para entrenamientos de más de 120 min es ideal utilizar la bebida deportiva Actimax en combinación con los geles Actimax para que tus músculos obtengan la cantidad adecuada de agua, electrolitos y combustible que necesitas para esos esfuerzos prolongados y conseguir un mejor rendimiento.</p>
<p>¿La bebida deportiva Actimax tiene cafeína?</p>
<p>SI, pero si la quieres sin cafeína también tenemos la referencia de bebida deportiva Actimax libre de cafeína que puedes encontrar en la presentación de tarro por 500 gr.</p>
<p>¿Cómo me ayuda la cafeína en la bebida deportiva Actimax?</p>
<p>La cafeína estimula tu sistema nervioso central mejorando la concentración y al estado de alerta que son muy importantes a la hora de entrenar o competir, adicionalmente la cafeína en entrenamientos de más de 120 minutos te ayuda disminuir la percepción del esfuerzo retrasando la aparición de la fatiga</p>
<p>¿Los niños pueden consumir la bebida deportiva Actimax?</p>
<p>Los deportistas de cualquier edad y sexo que realicen una actividad física que requiera hidratación y energía inmediata de larga duración pueden consumir la bebida deportiva Actimax con seguridad.</p>
<p>Solo recomendamos no utilizar las referencias con cafeína en menores de 14 años, mujeres en embarazo y personas sensibles a la cafeína. Recuerda que tenemos referencias con cafeína y sin cafeína.</p>
<p>¿Soy vegano, puedo consumir la bebida deportiva Actimax?</p>
<p>Todas nuestras referencias de bebida deportiva Actimax son aptas para veganos, son libres de gluten y libres de lácteos, sin aditivos ni preservantes.</p>",Actimax,Bebidas deportivas,"bebidas, durante, ciclismo, futbol, gym, natacion, running, triatlon",TRUE,Title,Default Title,,shopify,100,deny,manual,103500,,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2023/03/Pack-x20-sachets-Bebida-Deportiva-Elite-con-Cafeina.png,1,Pack x20 sachets Bebida Deportiva Élite con Cafeína,Pack x20 sachets Bebida Deportiva Élite con Cafeína — Actimax,"Con su nueva presentación en sobres, podrás llevar la hidratación y energía a todos tus entrenamientos. La Bebida Deportiva Élite con cafeína Actimax, es una be",active
